"stay" "exit" "owner" "educ" "age_20"
9.7 1 1 "L" 24
16.7 1 1 "H" 12
5.6 1 0 "H" 14
24 0 0 "H" 9
4.7 1 0 "L" 12
38 0 1 "L" 21
9.5 1 0 "M" 25
25 0 0 "H" 17
32 0 1 "M" 19
18 0 0 "M" 25
7.7 1 0 "M" 18
2.7 1 0 "M" 21
25 0 1 "M" 19
22 0 0 "M" 25
9.5 1 1 "H" 19
10.6 1 0 "H" 13
32 0 1 "H" 19
27 0 0 "M" 25
10 1 0 "M" 11
31 0 1 "L" 10
10.1 1 0 "M" 20
2.2 1 0 "H" 25
37 0 0 "M" 9
7.6 1 0 "H" 21
2.9 1 0 "H" 22
0.8 1 0 "L" 10
8.6 1 0 "H" 11
5.1 1 1 "M" 9
18 0 0 "M" 21
24 0 1 "M" 15
3.7 1 0 "M" 13
16 1 0 "L" 24
22.5 1 0 "L" 18
6.8 1 1 "M" 15
7.5 1 0 "M" 23
1 1 0 "M" 23
3.9 1 0 "M" 17
10.7 1 0 "L" 24
38 0 1 "M" 9
13.6 1 0 "L" 18
19.7 1 1 "M" 23
13.3 1 0 "M" 18
38 0 0 "L" 15
29 0 0 "M" 22
7.2 1 0 "M" 17
29 0 0 "M" 15
2.4 1 1 "L" 14
5.2 1 0 "H" 11
12.5 1 0 "M" 22
19 0 1 "L" 14
31 0 0 "H" 19
13.8 1 1 "M" 18
24 0 1 "H" 25
32 0 1 "L" 20
16 1 0 "H" 17
3 1 0 "M" 9
24 0 0 "M" 9
10 1 0 "H" 10
6.5 1 0 "L" 8
37 0 1 "H" 25
22 0 1 "M" 14
30 0 1 "L" 13
25.3 1 0 "M" 21
10.6 1 1 "L" 17
5 1 1 "L" 20
25 0 0 "H" 15
22 0 0 "H" 20
5.4 1 0 "H" 12
5.1 1 0 "M" 12
35 0 1 "M" 13
0.8 1 0 "M" 25
18 0 1 "H" 14
27 0 1 "M" 18
1.2 1 0 "M" 9
6.6 1 1 "M" 17
11 1 0 "M" 10
7.3 1 0 "H" 22
10 1 0 "H" 19
33 0 1 "H" 14
1.7 1 0 "H" 9
1.2 1 0 "M" 15
19.7 1 0 "M" 14
20 0 0 "L" 22
14 1 0 "H" 19
27 0 1 "L" 10
19 0 1 "M" 17
1.7 1 1 "L" 24
38 0 1 "L" 20
2.2 1 1 "M" 11
4.5 1 0 "M" 19
1.5 1 1 "H" 17
6.1 1 0 "L" 12
4.2 1 0 "H" 20
28 0 0 "M" 23
21 0 1 "M" 11
5.2 1 0 "M" 20
1.1 1 0 "L" 16
29 0 0 "L" 24
1.8 1 0 "H" 22
11.6 1 0 "H" 21
9.2 1 0 "H" 21
27 0 1 "L" 9
35 0 1 "L" 25
21 0 1 "M" 25
10.5 1 1 "M" 14
27 0 0 "L" 15
9.1 1 0 "H" 8
12.9 1 0 "M" 9
3.3 1 0 "M" 19
26 0 1 "L" 25
16.4 1 1 "H" 24
12.1 1 0 "M" 13
14.3 1 0 "H" 18
4.8 1 0 "M" 8
4.3 1 0 "H" 9
1.1 1 0 "M" 9
5.9 1 1 "M" 15
27.7 1 0 "H" 13
22 0 0 "L" 11
33 0 1 "M" 17
4.9 1 0 "M" 10
3.1 1 0 "M" 16
10.7 1 0 "M" 9
8 1 0 "L" 20
30 0 0 "L" 19
10.1 1 0 "H" 16
3.7 1 1 "L" 20
2.3 1 0 "H" 18
27 0 1 "H" 14
35 0 0 "M" 9
32 0 0 "M" 24
6.2 1 0 "L" 20
21 0 1 "M" 22
10.5 1 0 "L" 22
28 0 1 "H" 12
4.5 1 0 "H" 24
38 0 1 "M" 11
11.6 1 0 "M" 18
25 0 0 "H" 24
35 0 1 "M" 9
5.9 1 0 "L" 20
23 0 1 "H" 12
0.9 1 0 "M" 14
8.5 1 0 "H" 25
17.6 1 0 "M" 9
7.8 1 0 "M" 9
10.3 1 0 "H" 22
38 0 0 "L" 12
32 0 1 "M" 19
12.6 1 1 "M" 10
23.4 1 0 "M" 15
19.9 1 0 "H" 25
27.2 1 0 "H" 8
6.7 1 0 "H" 22
19 0 1 "H" 14
25 0 0 "H" 22
8.1 1 0 "L" 9
6.8 1 0 "L" 13
12.4 1 1 "M" 17
2.6 1 1 "M" 9
7.1 1 0 "M" 19
6.4 1 0 "L" 23
10.6 1 0 "M" 17
29.2 1 0 "M" 21
6.6 1 0 "M" 20
22 0 1 "H" 22
23 0 1 "H" 19
4 1 0 "H" 10
27.7 1 0 "L" 8
20 0 1 "M" 24
20.5 1 0 "M" 10
17.8 1 0 "M" 10
22.5 1 1 "M" 24
5.3 1 0 "M" 12
1.5 1 1 "L" 16
7.2 1 1 "M" 16
0.9 1 0 "L" 17
5.7 1 1 "M" 21
3.2 1 0 "M" 25
6.3 1 0 "H" 9
5 1 1 "L" 12
7.7 1 0 "M" 17
1.3 1 1 "H" 18
1.7 1 0 "L" 14
11 1 0 "M" 14
2.7 1 0 "M" 19
23 0 0 "M" 24
3.5 1 1 "M" 8
9.6 1 0 "L" 16
21.9 1 1 "H" 9
35.5 1 0 "L" 21
34 0 0 "M" 9
6.9 1 0 "M" 10
12 1 0 "L" 23
6.6 1 0 "H" 25
8 1 0 "H" 9
11.3 1 0 "M" 21
8.7 1 0 "H" 21
8.9 1 0 "M" 9
5.4 1 0 "L" 23
2.5 1 1 "M" 11
19 0 0 "H" 9
35 0 0 "M" 11
5.8 1 0 "H" 18
23 0 1 "L" 20
8.4 1 0 "L" 13
7.5 1 0 "M" 8
4.8 1 0 "M" 18
27 0 1 "M" 22
28 0 0 "M" 25
28 0 1 "L" 19
38 0 1 "M" 20
4.1 1 0 "L" 21
3.6 1 1 "M" 22
2.9 1 0 "H" 16
4.4 1 0 "M" 14
7.4 1 0 "M" 12
2.7 1 0 "L" 25
21 0 0 "M" 17
30.1 1 0 "L" 12
31 0 0 "H" 10
17.2 1 0 "H" 10
7 1 0 "H" 13
29.5 1 0 "H" 22
30 0 0 "M" 18
20.5 1 0 "M" 12
32 0 1 "H" 13
8.3 1 0 "M" 19
15.9 1 0 "M" 23
36 0 0 "M" 12
5 1 1 "H" 8
5.2 1 1 "L" 8
33 0 1 "L" 16
2.7 1 0 "H" 16
37 0 1 "M" 13
6.6 1 0 "L" 9
4 1 0 "M" 16
13.1 1 0 "L" 17
9.6 1 0 "L" 25
13.4 1 0 "L" 20
22 0 0 "H" 15
24 0 1 "M" 18
5.4 1 1 "H" 21
8 1 0 "M" 11
7.6 1 0 "M" 18
27 0 0 "H" 12
17.6 1 1 "M" 23
19 0 0 "M" 25
4.1 1 0 "M" 9
25.9 1 0 "H" 16
4.9 1 0 "M" 21
8.3 1 0 "L" 9
17.5 1 1 "M" 11
3.2 1 0 "M" 9
4.6 1 0 "M" 22
19 0 1 "L" 20
8.6 1 0 "L" 8
5.4 1 1 "L" 24
24 0 0 "L" 12
9 1 1 "H" 9
4 1 0 "M" 15
6.7 1 0 "L" 21
32 0 0 "M" 19
30 0 1 "M" 21
5.8 1 0 "L" 13
3.6 1 1 "L" 12
4.5 1 1 "M" 23
2.7 1 0 "M" 19
28 0 0 "H" 10
4.7 1 0 "H" 21
2.2 1 1 "L" 11
10.4 1 1 "H" 14
8.8 1 0 "M" 23
36 0 1 "H" 19
7.9 1 1 "L" 17
1.2 1 0 "M" 24
7.3 1 0 "M" 17
31 0 1 "M" 13
32 0 1 "L" 13
3.7 1 1 "H" 11
5.9 1 0 "H" 24
9.5 1 1 "H" 17
7.2 1 1 "M" 8
7.9 1 1 "L" 9
30 0 0 "H" 13
6.2 1 0 "M" 19
1.7 1 0 "H" 18
9.7 1 0 "M" 23
3 1 1 "M" 9
7.1 1 0 "L" 17
8.2 1 1 "H" 22
2.3 1 0 "M" 23
9.1 1 0 "H" 21
36 0 0 "L" 17
38 0 1 "L" 25
19 0 1 "M" 12
34 0 1 "M" 19
0.8 1 0 "M" 19
25 0 1 "M" 9
38 0 0 "M" 11
0.6 1 1 "M" 10
26 0 0 "L" 20
7.9 1 0 "H" 8
11.3 1 0 "M" 16
5.8 1 0 "M" 22
8.1 1 1 "M" 24
5.5 1 0 "M" 21
5.8 1 0 "L" 9
11.6 1 0 "M" 10
6.2 1 0 "M" 12
5.2 1 0 "M" 25
24 0 1 "L" 18
24 0 0 "M" 22
32 0 1 "M" 14
14.5 1 0 "L" 15
37 0 0 "H" 25
6.2 1 1 "L" 25
5.8 1 0 "L" 18
6.7 1 0 "L" 23
18.8 1 1 "M" 14
13 1 1 "L" 25
12.2 1 0 "L" 18
31 0 0 "M" 22
10.2 1 0 "H" 10
8.4 1 0 "H" 17
14.1 1 0 "M" 15
19 0 0 "M" 23
10.3 1 0 "M" 12
6 1 0 "M" 22
18.1 1 0 "M" 11
6 1 0 "L" 8
6.6 1 0 "M" 13
4 1 0 "L" 12
4.9 1 1 "M" 12
27 0 0 "M" 16
5.7 1 0 "L" 23
21 0 0 "M" 24
1.4 1 0 "L" 9
37 0 0 "L" 20
6.7 1 0 "M" 18
5 1 0 "M" 15
19.6 1 0 "H" 23
20 0 1 "M" 16
5.3 1 0 "M" 25
38 0 0 "M" 14
4.4 1 0 "H" 10
20 0 0 "H" 21
